PUMA,TYPE,BLD,NP,RNTP,SNAP,RMSP,VEH,HINCP,TANF,WGTP,HHT,NOC,UTIL,SERIALNO,SS,POVPIP,INC_TYPE
104,female head,apartment,4,900,1,3,1,1200,0,41,3,3,250,2.02E+12,0,4,variable
123,female head,apartment,4,480,1,3,0,1200,0,47,3,2,80,2.02E+12,0,5,variable
123,married,apartment,2,880,0,3,2,1200,0,31,1,0,200,2.02E+12,0,7,variable
103,married,apartment,3,690,0,4,1,1200,0,16,1,1,110,2.02E+12,0,6,variable
117,female head,apartment,1,660,1,4,1,1200,1200,16,6,0,120,2.02E+12,0,9,variable
118,male head,apartment,1,640,0,2,1,1200,0,13,4,0,70,2.02E+12,0,9,variable
106,female head,apartment,3,1000,1,6,1,1200,0,23,3,2,140,2.02E+12,0,6,variable
116,female head,apartment,1,1300,0,3,1,1200,0,20,6,0,100,2.02E+12,0,9,variable
104,female head,apartment,3,940,1,4,1,1200,800,13,3,2,120,2019HU0680148,0,5,variable
115,female head,apartment,1,560,0,2,0,1200,0,22,6,0,60,2019HU1099837,0,9,variable
113,female head,apartment,1,700,1,4,0,1200,0,16,6,0,190,2.02E+12,1200,9,fixed
115,female head,house,1,300,0,6,1,1200,0,14,6,0,80,2.02E+12,1200,9,fixed
104,male head,apartment,1,650,0,4,0,1200,0,19,4,0,60,2.02E+12,1200,9,fixed
121,female head,apartment,1,500,0,5,0,1200,0,22,6,0,40,2.02E+12,1200,9,fixed
118,female head,apartment,2,1600,0,3,2,1250,0,11,7,0,160,2.02E+12,0,5,variable
116,female head,apartment,2,750,0,1,0,1260,0,12,7,0,0,2019HU0559838,0,9,variable
109,male head,apartment,2,860,0,1,1,1300,0,18,5,0,130,2.02E+12,0,10,variable
109,female head,apartment,1,930,0,3,1,1300,0,6,6,0,60,2.02E+12,0,10,variable
117,male head,apartment,2,430,1,1,0,1300,0,49,5,0,50,2.02E+12,0,10,variable
103,female head,apartment,1,440,1,4,1,1300,0,13,6,0,120,2.02E+12,0,10,variable
118,male head,apartment,1,440,1,1,0,1300,0,11,4,0,0,2.02E+12,0,10,variable
118,male head,apartment,1,430,1,2,0,1300,0,7,4,0,40,2.02E+12,0,10,variable
109,male head,apartment,2,1000,0,4,1,1300,0,39,5,0,240,2019HU1317899,0,9,variable
102,male head,apartment,1,730,0,4,1,1300,0,11,4,0,150,2019HU1405968,0,9,variable
115,female head,apartment,1,620,1,4,0,1300,0,13,6,0,100,2.02E+12,1300,11,fixed
116,male head,apartment,1,660,0,3,1,1300,0,40,4,0,0,2.02E+12,1300,10,fixed
122,male head,house,1,630,0,4,0,1300,0,12,4,0,0,2.02E+12,1300,11,fixed
103,female head,apartment,1,700,0,5,0,1300,0,12,6,0,60,2.02E+12,1300,10,fixed
125,male head,apartment,1,380,1,3,1,1300,0,14,4,0,30,2.02E+12,1300,11,fixed
110,male head,apartment,1,870,0,4,1,1300,0,12,4,0,50,2018HU0695736,1300,10,fixed
118,female head,apartment,1,390,0,2,1,1300,0,17,6,0,0,2019HU0995269,1300,10,fixed
101,male head,apartment,1,550,0,3,1,1320,0,11,4,0,50,2018HU0553338,1300,10,variable
108,female head,apartment,2,870,0,3,2,1350,0,24,3,0,50,2018HU1397085,0,8,variable
121,female head,apartment,2,800,1,4,1,1400,0,11,3,0,80,2.02E+12,0,8,variable
118,female head,apartment,1,400,0,3,1,1400,0,7,6,0,60,2.02E+12,0,11,variable
118,female head,apartment,2,160,1,4,0,1400,0,9,3,1,20,2018HU0329833,0,8,variable
123,female head,apartment,2,930,0,2,1,1400,0,10,3,0,180,2019HU1104906,0,8,variable
122,male head,apartment,1,750,0,5,1,1400,0,11,4,0,0,2.02E+12,1400,12,fixed
103,female head,apartment,1,770,0,3,1,1400,0,13,6,0,70,2.02E+12,1400,12,fixed
125,male head,apartment,1,200,0,1,0,1400,0,31,4,0,0,2018HU0230930,1400,11,fixed
121,female head,apartment,2,660,1,3,0,1400,0,16,3,0,160,2018HU0327590,1400,8,fixed
117,male head,apartment,1,700,1,1,0,1400,0,87,4,0,0,2018HU0497912,1400,10,fixed
118,female head,house,1,700,0,3,1,1400,0,26,6,0,130,2019HU0166410,1400,10,fixed
116,female head,apartment,1,700,0,4,1,1400,0,38,6,0,100,2019HU1189788,1400,11,fixed
117,female head,apartment,2,1200,0,3,2,1440,0,18,3,0,80,2019HU0093322,0,8,variable
109,female head,apartment,2,1200,0,4,0,1500,0,30,7,0,0,2.02E+12,0,8,variable
109,female head,apartment,2,900,0,2,1,1500,0,11,7,0,120,2.02E+12,0,12,variable
122,female head,apartment,3,590,1,4,0,1500,0,55,3,2,100,2.02E+12,0,7,variable
118,male head,apartment,1,1500,0,4,1,1500,0,10,4,0,70,2.02E+12,0,11,variable
103,male head,apartment,1,800,0,4,1,1500,0,11,4,0,100,2.02E+12,0,11,variable
108,male head,house,3,2900,0,7,3,1500,0,32,5,0,330,2018HU0004741,0,11,variable
102,male head,house,3,2900,0,6,3,1500,0,23,5,0,200,2018HU0623693,0,11,variable
105,married,apartment,2,860,0,4,2,1500,0,17,1,0,100,2018HU1029685,0,8,variable
105,married,house,5,1300,0,5,2,1500,0,46,1,3,150,2018HU1138213,0,5,variable
108,female head,apartment,2,970,0,3,0,1500,0,11,3,0,70,2018HU1256741,0,9,variable
109,female head,apartment,2,1200,0,4,2,1500,0,11,7,0,60,2018HU1339321,0,7,variable
104,male head,house,1,980,0,6,1,1500,0,14,4,0,320,2019HU0258391,0,11,variable
102,female head,apartment,1,650,0,4,1,1500,0,16,6,0,120,2.02E+12,1500,13,fixed
111,female head,apartment,1,900,0,2,0,1500,0,21,6,0,0,2.02E+12,1500,13,fixed
114,female head,house,1,1300,0,7,1,1500,0,25,6,0,90,2018HU0563663,1500,12,fixed
101,female head,apartment,1,1400,0,3,0,1500,0,10,6,0,0,2019HU1059637,1500,12,fixed
117,male head,apartment,1,880,0,3,1,1500,0,13,4,0,150,2019HU1247494,1500,12,fixed
102,married,house,4,1200,1,6,1,1510,0,8,1,2,450,2.02E+12,0,6,variable
109,married,apartment,3,780,0,1,2,1560,460,35,1,0,100,2.02E+12,1100,8,variable
122,married,apartment,2,800,0,3,0,1600,0,25,1,0,0,2.02E+12,0,10,variable
125,male head,apartment,1,50,1,1,0,1600,0,48,4,0,0,2.02E+12,0,12,variable
122,female head,apartment,1,650,0,3,1,1600,0,15,6,0,0,2018HU0999450,0,12,variable
103,male head,apartment,1,1100,0,4,1,1600,0,34,4,0,30,2019HU0833569,0,12,variable
121,male head,house,1,450,1,4,0,1600,0,33,4,0,80,2019HU1026535,0,13,variable
118,female head,apartment,1,890,0,3,1,1600,0,13,6,0,170,2.02E+12,1600,13,fixed
104,female head,apartment,2,830,1,4,0,1600,0,12,7,0,120,2018HU0932653,1600,13,fixed
114,female head,apartment,1,670,0,2,0,1600,0,7,6,0,70,2019HU0979184,1600,12,fixed
108,married,house,5,1300,1,4,1,1620,0,20,1,2,160,2.02E+12,730,5,variable
103,female head,apartment,1,750,0,1,1,1700,0,33,6,0,0,2.02E+12,0,13,variable
109,female head,apartment,1,940,0,2,1,1700,0,18,6,0,0,2018HU0223993,0,13,variable
106,female head,house,1,1200,0,5,1,1700,0,27,6,0,250,2018HU0521623,0,13,variable
125,female head,apartment,1,950,0,3,1,1700,0,13,6,0,40,2.02E+12,1700,14,fixed
120,female head,house,1,1000,0,6,1,1700,0,8,6,0,190,2.02E+12,1700,14,fixed
108,female head,house,1,2000,0,7,1,1760,0,9,6,0,230,2019HU0248828,1500,14,variable
104,married,house,5,1000,1,6,1,1780,0,14,1,1,180,2.02E+12,1780,5,fixed
117,male head,apartment,1,620,1,3,0,1800,0,7,4,0,0,2.02E+12,0,14,variable
122,female head,apartment,1,760,0,5,1,1800,600,23,6,0,250,2.02E+12,0,14,variable
115,female head,apartment,1,870,1,5,0,1800,0,13,6,0,110,2018HU1036822,0,13,variable
114,male head,apartment,1,1800,0,2,0,1800,0,19,4,0,0,2.02E+12,1800,15,fixed
110,female head,apartment,1,1500,0,3,1,1800,0,14,6,0,30,2.02E+12,1800,15,fixed
117,female head,house,2,800,0,3,2,1800,0,37,7,0,100,2.02E+12,1800,14,fixed
120,female head,house,1,1400,0,9,1,1800,0,14,6,0,490,2.02E+12,1800,15,fixed
102,female head,apartment,1,1300,0,3,0,1800,0,12,6,0,0,2.02E+12,1800,15,fixed
103,female head,apartment,1,800,0,13,0,1800,0,14,6,0,0,2.02E+12,1800,15,fixed
123,male head,house,1,510,0,5,3,1800,0,27,4,0,40,2018HU0608326,1800,15,fixed
113,male head,apartment,1,780,0,5,1,1800,0,25,4,0,70,2018HU1311472,1800,15,fixed
122,female head,apartment,1,460,1,1,0,1900,1900,23,6,0,80,2018HU0396303,0,16,variable
106,female head,apartment,2,600,1,4,0,1900,0,27,7,0,150,2018HU0559547,0,14,variable
119,male head,apartment,1,580,0,2,0,1900,0,13,4,0,140,2.02E+12,1900,16,fixed
116,male head,apartment,1,740,0,1,0,1900,0,9,4,0,40,2.02E+12,1900,16,fixed
106,female head,apartment,1,910,0,4,1,1900,0,17,6,0,50,2018HU0821070,1900,16,fixed
125,male head,apartment,1,500,0,1,1,2000,0,12,4,0,0,2.02E+12,0,16,variable
104,female head,house,3,900,0,4,1,2000,0,36,3,2,300,2.02E+12,0,10,variable
109,female head,apartment,2,500,0,5,0,2000,0,11,7,0,30,2.02E+12,0,16,variable
121,married,house,7,1000,1,7,2,2000,0,34,1,2,180,2.02E+12,0,5,variable
102,female head,apartment,5,680,1,4,1,2000,0,37,3,4,320,2.02E+12,0,7,variable
118,male head,apartment,2,1000,0,3,2,2000,0,12,5,0,250,2.02E+12,0,16,variable
119,female head,house,4,780,1,5,0,2000,2000,40,3,3,240,2.02E+12,0,8,variable
109,male head,apartment,1,700,1,2,1,2000,0,22,4,0,0,2.02E+12,0,16,variable
116,married,apartment,3,690,1,4,2,2000,0,10,1,1,70,2.02E+12,0,10,variable
123,female head,house,4,1100,1,8,0,2000,0,11,3,2,250,2.02E+12,0,8,variable
104,married,house,6,900,1,5,2,2000,0,42,1,3,350,2.02E+12,0,6,variable
119,female head,house,5,700,1,8,0,2000,0,23,3,4,300,2.02E+12,0,7,variable
115,female head,apartment,1,540,0,4,1,2000,0,16,6,0,120,2.02E+12,0,16,variable
109,male head,apartment,2,810,0,3,2,2000,0,27,5,0,170,2.02E+12,0,16,variable
101,female head,apartment,1,650,1,3,0,2000,0,11,6,0,50,2.02E+12,0,16,variable
109,male head,apartment,1,590,0,1,0,2000,0,22,4,0,130,2.02E+12,0,16,variable
122,female head,apartment,1,610,1,1,0,2000,0,12,6,0,0,2.02E+12,0,16,variable
122,female head,apartment,1,570,0,1,0,2000,0,26,6,0,0,2.02E+12,0,15,variable
102,female head,apartment,1,650,0,3,1,2000,0,12,6,0,90,2.02E+12,0,16,variable
112,female head,apartment,1,1300,0,2,1,2000,0,23,6,0,30,2.02E+12,0,15,variable
119,female head,apartment,1,560,1,6,1,2000,0,35,6,0,230,2.02E+12,0,15,variable
116,married,apartment,4,730,1,4,1,2000,0,17,1,1,120,2.02E+12,0,7,variable
121,female head,house,4,120,0,7,1,2000,0,39,3,3,120,2.02E+12,0,8,variable
101,female head,apartment,1,1300,0,1,1,2000,0,10,6,0,80,2.02E+12,0,15,variable
116,female head,apartment,1,670,1,1,0,2000,2000,13,6,0,30,2018HU0304845,0,15,variable
104,married,apartment,3,630,1,4,1,2000,0,13,1,0,240,2018HU0463884,0,10,variable
118,male head,apartment,1,1000,0,3,1,2000,0,13,4,0,120,2018HU0596557,0,15,variable
117,female head,apartment,4,650,1,4,1,2000,0,20,3,3,140,2018HU0686630,0,7,variable
109,male head,apartment,1,1700,0,2,1,2000,0,8,4,0,120,2018HU0953694,0,15,variable
118,male head,house,1,800,1,3,0,2000,0,9,4,0,400,2018HU1071172,0,15,variable
119,female head,house,6,600,1,5,4,2000,0,5,3,0,500,2018HU1299615,0,5,variable
109,female head,apartment,1,870,0,5,1,2000,0,19,6,0,70,2019HU0051936,0,15,variable
118,male head,apartment,1,1600,0,2,1,2000,0,19,4,0,70,2019HU0404290,0,15,variable
117,male head,apartment,1,600,0,3,1,2000,0,18,4,0,50,2019HU0556953,0,15,variable
118,male head,apartment,1,930,0,3,1,2000,0,9,4,0,100,2019HU0640406,0,15,variable
114,female head,apartment,1,1300,0,4,0,2000,0,66,6,0,80,2.02E+12,2000,17,fixed
100,male head,apartment,1,950,0,2,1,2000,0,14,4,0,210,2.02E+12,2000,15,fixed
122,male head,apartment,1,700,0,3,1,2000,0,11,4,0,0,2018HU0530301,2000,16,fixed
104,female head,apartment,1,540,0,3,0,2000,0,20,6,0,80,2018HU0755186,2000,15,fixed
102,female head,apartment,1,420,0,3,0,2000,0,10,6,0,0,2019HU1181004,4100,16,variable
114,male head,apartment,1,610,1,3,1,2010,0,17,4,0,80,2.02E+12,1600,17,variable
104,female head,apartment,2,1100,1,5,1,2090,290,14,3,1,160,2.02E+12,0,12,variable
104,female head,apartment,1,1900,0,3,0,2090,0,11,6,0,0,2019HU0244326,1500,17,variable
119,female head,trailer,2,400,1,3,1,2100,0,11,3,0,70,2.02E+12,0,13,variable
109,female head,apartment,3,790,1,5,3,2100,0,13,3,1,300,2.02E+12,0,12,variable
115,male head,apartment,1,590,0,1,0,2100,0,29,4,0,200,2.02E+12,0,16,variable
122,married,house,3,700,1,5,2,2100,0,7,1,1,210,2.02E+12,0,10,variable
125,female head,apartment,2,610,0,3,0,2100,0,18,7,0,30,2.02E+12,0,8,variable
105,female head,house,1,1100,0,4,1,2100,0,42,6,0,90,2.02E+12,0,16,variable
101,male head,apartment,1,630,0,1,1,2100,0,41,4,0,120,2.02E+12,2100,18,fixed
118,married,trailer,4,440,1,3,0,2100,0,22,1,0,110,2.02E+12,2100,8,fixed
114,married,apartment,2,690,1,5,1,2120,20,15,1,0,20,2.02E+12,2100,13,variable
104,married,apartment,2,740,0,5,1,2120,0,11,1,0,60,2.02E+12,2120,13,fixed
117,male head,apartment,1,650,0,3,1,2200,0,9,4,0,70,2019HU0684442,0,18,variable
128,male head,apartment,1,1400,0,5,1,2200,0,55,4,0,160,2019HU1410212,0,16,variable
